"","Gene_Symbol","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ENSG00000164778","EN2",1.19949235734746e-16,4.1277790574682,0.429,0.021,3.2070827158399e-12
"ENSG00000146910","CNPY1",1.22326129055958e-16,3.45085905633926,0.469,0.032,3.27063371256915e-12
"ENSG00000163064","EN1",3.11458613409363e-16,2.79960184334332,0.531,0.053,8.32746894672614e-12
"ENSG00000185630","PBX1",1.70333363864728e-15,1.43997515454428,0.98,0.932,4.55420314965123e-11
"ENSG00000166664","CHRFAM7A",2.86666402970047e-15,2.39179203871333,0.551,0.068,7.66459961621015e-11
"ENSG00000185518","SV2B",2.43213156888435e-14,1.76862030351767,0.939,0.442,6.50279017572608e-10
"ENSG00000251562","MALAT1",2.95962422855682e-14,0.954883788434666,1,1,7.91314729989238e-10
"ENSG00000180176","TH",3.04479684703225e-14,3.18836637292126,0.735,0.179,8.14087332991013e-10
"ENSG00000065485","PDIA5",3.2420934612069e-14,2.51608678890706,0.612,0.116,8.66838528722889e-10
"ENSG00000134443","GRP",3.7229874362332e-14,6.18193342522002,0.286,0,9.9541515082567e-10
"ENSG00000218672",NA,4.12992142864098e-14,2.83560762891747,0.388,0.021,1.10421709237574e-09
"ENSG00000112218","GPR63",5.11094683225121e-14,1.75227329480683,0.735,0.153,1.36651385453901e-09
"ENSG00000228696","ARL17A",6.66711602670101e-14,2.29364784184261,0.735,0.195,1.78258681205905e-09
"ENSG00000036565","SLC18A1",1.99464590307341e-13,3.40012889251327,0.429,0.042,5.33308475104739e-09
"ENSG00000253832",NA,5.7952378980166e-13,4.71277242391103,0.286,0.005,1.5494727567927e-08
"ENSG00000173068","BNC2",9.74726611581071e-13,1.77035461585605,0.694,0.195,2.60612654138431e-08
"ENSG00000226383","LINC01876",1.04817863570153e-12,1.46521465970842,0.857,0.316,2.80251521827517e-08
"ENSG00000128573","FOXP2",1.2593237575521e-12,1.42840801861875,0.98,0.442,3.36705393056705e-08
"ENSG00000087903","RFX2",1.3385282566008e-12,2.49936016963075,0.673,0.174,3.57882299967356e-08
"ENSG00000165646","SLC18A2",2.20738268147813e-12,1.54590154808702,0.755,0.2,5.90187907546807e-08
"ENSG00000169783","LINGO1",2.31156271851783e-12,-1.94472486669751,0.633,0.874,6.18042524050111e-08
"ENSG00000085563","ABCB1",2.65591731122168e-12,2.16779283957101,0.51,0.079,7.1011261150134e-08
"ENSG00000170011","MYRIP",4.77955605143299e-12,1.26253339865617,0.98,0.837,1.27790990147164e-07
"ENSG00000139083","ETV6",1.85980889856792e-11,2.01736822463215,0.735,0.232,4.97257105210103e-07
"ENSG00000099622","CIRBP",2.36896547888456e-11,-3.02512947908597,0.265,0.716,6.33390300089364e-07
"ENSG00000225930","LINC02249",3.39421915996064e-11,3.46940315067756,0.347,0.032,9.07512376798676e-07
"ENSG00000198130","HIBCH",5.09592645894208e-11,1.02528117026673,0.959,0.789,1.36249785732734e-06
"ENSG00000188803","SHISA6",8.46358419456546e-11,2.08342619892707,0.816,0.4,2.26290850610097e-06
"ENSG00000179241","LDLRAD3",1.27547450611194e-10,1.61031156941485,0.755,0.289,3.41023618699148e-06
"ENSG00000225968","ELFN1",1.60214879046253e-10,2.29982259720835,0.49,0.095,4.28366522105967e-06
"ENSG00000150361","KLHL1",2.23180996335737e-10,1.26723911572209,0.959,0.863,5.9671902990286e-06
"ENSG00000268654","MIMT1",2.75851608787941e-10,2.74671410437057,0.347,0.037,7.37544446416318e-06
"ENSG00000171444","MCC",2.9626562548287e-10,1.23025081676528,0.898,0.4,7.92125402853549e-06
"ENSG00000164330","EBF1",3.07253335237323e-10,1.241733783704,0.816,0.305,8.2150324242403e-06
"ENSG00000259974","LINC00261",4.44625022818138e-10,4.23027133035826,0.224,0.005,1.18879392350886e-05
"ENSG00000164199","ADGRV1",4.69394285374563e-10,1.00178879021629,0.959,0.737,1.25501950080597e-05
"ENSG00000257191",NA,5.27520980610228e-10,2.10149359624907,0.469,0.089,1.41043284585757e-05
"ENSG00000118785","SPP1",7.18771150497858e-10,2.1295161732542,0.531,0.116,1.92177842508612e-05
"ENSG00000214357","NEURL1B",7.65709189109346e-10,2.17171416846762,0.388,0.053,2.04727665892166e-05
