"","Gene_Symbol","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"NEAT1","NEAT1",0,1.24199678686269,0.991,0.965,0
"MSRA","MSRA",1.0534058998643e-248,2.25897671485082,0.61,0.194,2.81649135446717e-244
"SLC35F3","SLC35F3",6.73771245006882e-226,2.38184112454975,0.533,0.146,1.8014621777749e-221
"SLC39A11","SLC39A11",1.41077226853007e-217,0.938699101064021,0.961,0.855,3.77198181436885e-213
"CDKL1","CDKL1",6.05208328282128e-215,1.77188464273735,0.688,0.32,1.61814550732793e-210
"SLC38A2","SLC38A2",1.28657688494631e-181,1.46478932926374,0.722,0.417,3.43992061728095e-177
"USP31","USP31",1.89130384086663e-174,1.22934771668099,0.82,0.573,5.0567790793251e-170
"POLR2F","POLR2F",2.74880089484658e-174,-1.06349575609158,0.678,0.897,7.34946895255129e-170
"PLEKHH1","PLEKHH1",6.50579825797736e-173,-0.715708911936231,0.88,0.967,1.73945528023541e-168
"ERBIN","ERBIN",1.53316393697294e-172,0.741906942693388,0.987,0.973,4.09922041828454e-168
"ENSG00000283486","ENSG00000283486",9.68314840852311e-172,1.47348082471644,0.705,0.375,2.58898338998682e-167
"TPD52L1","TPD52L1",6.72113496323711e-166,4.97044328742799,0.226,0.008,1.79702985512071e-161
"SIK3","SIK3",5.32388301995957e-165,-0.632419062204544,0.977,0.989,1.42344660304659e-160
"PPP2R2B","PPP2R2B",5.60101008244809e-162,-0.71663064038964,0.967,0.985,1.49754206574415e-157
"ENSG00000285106","ENSG00000285106",3.61767637205235e-160,0.914816898446384,0.948,0.879,9.67258131595636e-156
"MOBP","MOBP",2.41163561057784e-159,-0.754887080271621,0.924,0.979,6.44799013200198e-155
"ANK2","ANK2",2.3857334152294e-151,-0.679344944715734,0.936,0.976,6.37873543229885e-147
"SLC44A1","SLC44A1",3.33314228419384e-150,0.475606637887063,0.999,0.996,8.91182252524907e-146
"MIR219A2HG","MIR219A2HG",9.28368677871268e-147,-1.45103840978715,0.523,0.763,2.48217933402441e-142
"ANKRD18A","ANKRD18A",1.37767627335944e-131,1.1767380593852,0.697,0.395,3.68349305208115e-127
"TP53TG5","TP53TG5",1.28085955646897e-128,-1.3847315586391,0.369,0.647,3.42463419613109e-124
"TMPRSS5","TMPRSS5",1.50324211067467e-128,1.95694912571253,0.403,0.132,4.01921843131086e-124
"GRID2","GRID2",1.51135912909619e-126,1.03770913707689,0.667,0.323,4.04092090346449e-122
"CIRBP","CIRBP",3.60104186027902e-126,-1.25910965033928,0.367,0.654,9.62810562182801e-122
"KCNH8","KCNH8",6.06001032470501e-125,-0.829578727285033,0.798,0.911,1.62026496051638e-120
"CARNS1","CARNS1",6.31096016828649e-124,-0.895655144060729,0.637,0.849,1.68736142019476e-119
"HSPA1A","HSPA1A",1.021637317848e-119,1.54129165731585,0.616,0.338,2.7315516967302e-115
"FKBP5","FKBP5",1.44152092910279e-119,0.979493741938698,0.833,0.644,3.85419450814212e-115
"ANK3","ANK3",1.52237186606441e-116,-0.754120827682047,0.922,0.96,4.07036565829642e-112
"TRIM2","TRIM2",6.31506364956498e-114,-0.575797046953669,0.949,0.98,1.68845856798419e-109
"PTK2","PTK2",7.44192631853146e-114,-0.555892265239176,0.929,0.966,1.98974783978576e-109
"JAKMIP3","JAKMIP3",7.90931073234082e-114,1.06121080610682,0.726,0.494,2.11471241050597e-109
"ENSG00000243444","ENSG00000243444",5.19923226701415e-112,-1.12747834353616,0.492,0.733,1.39011873123157e-107
"PTPRD","PTPRD",3.88425217466119e-111,-0.394125580060449,0.991,0.995,1.03853250393916e-106
"FBXO2","FBXO2",1.93430147070406e-109,2.43282683648269,0.253,0.051,5.17174184222145e-105
"DPP6","DPP6",2.39488066520234e-108,0.933034858613896,0.815,0.576,6.40319243455149e-104
"FMO5","FMO5",2.15990130912725e-107,1.99141542747838,0.392,0.151,5.77492813021352e-103
"PEX5L","PEX5L",2.32541499014414e-106,0.476332094383538,0.997,0.986,6.21746205914837e-102
"ASTN2","ASTN2",1.53047470292608e-105,-1.1803864152698,0.432,0.679,4.09203021321347e-101
"FBXO32","FBXO32",1.0212534746802e-103,1.03921910604207,0.69,0.438,2.73052541525245e-99
"CHORDC1","CHORDC1",2.69518391284082e-101,1.6040401952473,0.429,0.181,7.2061132277625e-97
"ANLN","ANLN",2.48491130565139e-98,0.586876448643002,0.938,0.843,6.64390735792012e-94
"FANCC","FANCC",1.06926142815302e-97,1.46047375725778,0.432,0.183,2.85888428045272e-93
"MIR4527HG","MIR4527HG",1.56458201260682e-97,3.09473734535789,0.203,0.033,4.18322292710686e-93
"SEM1","SEM1",3.66096083623296e-97,1.14619152895056,0.617,0.366,9.78831098783605e-93
"CPQ","CPQ",1.41962830391571e-96,0.802782708698907,0.848,0.703,3.79566019617943e-92
"SORL1","SORL1",5.02586322065679e-93,0.882945551292843,0.738,0.509,1.34376504930701e-88
"NAALADL2","NAALADL2",5.36733764429419e-93,-0.976123631653116,0.537,0.76,1.43506506595494e-88
"HSPH1","HSPH1",5.52925852280666e-93,1.71652126594333,0.385,0.157,1.47835785124282e-88
"PDE4DIP","PDE4DIP",8.76456234943252e-93,0.848563086897418,0.789,0.618,2.34338103536777e-88
"MAP2K4","MAP2K4",1.90965905154779e-92,0.826362348290081,0.768,0.555,5.10585540612334e-88
"S100A6","S100A6",4.03445052450535e-92,2.81186874216109,0.219,0.046,1.078691036737e-87
"PPFIA2","PPFIA2",1.72945744752225e-89,-1.07509576085435,0.422,0.658,4.62405037744025e-85
"QDPR","QDPR",2.23619599407162e-89,0.620320849573037,0.942,0.882,5.97891722934929e-85
"ZFYVE16","ZFYVE16",4.3676460233764e-89,-0.667135090715737,0.739,0.873,1.16777751727015e-84
"PLCL1","PLCL1",1.14989384255107e-87,0.490132978179471,0.991,0.979,3.07447116682881e-83
