"","Gene_Symbol","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MOBP","MOBP",3.92936356479352e-275,-1.60441303227498,0.95,0.998,1.05059393631884e-270
"NEAT1","NEAT1",6.49212505991188e-247,1.24644404632303,0.999,0.996,1.73579947726864e-242
"PLEKHH1","PLEKHH1",1.45355966299935e-191,-0.848964245333535,0.975,0.993,3.88638247096137e-187
"SLC38A2","SLC38A2",1.12637326541543e-149,1.69066778765434,0.836,0.517,3.01158419974123e-145
"QDPR","QDPR",1.1437437110223e-144,1.260754740757,0.947,0.81,3.05802756016033e-140
"HSPA1A","HSPA1A",2.24929314768586e-135,2.08410733949537,0.769,0.431,6.01393508896769e-131
"POLR2F","POLR2F",1.22855850853366e-134,-1.22160489411296,0.771,0.945,3.28479688426645e-130
"ZFYVE16","ZFYVE16",3.76724639169555e-134,-0.943978175856768,0.9,0.976,1.00724866774764e-129
"CARNS1","CARNS1",1.20776892706815e-133,-1.0247269823009,0.844,0.977,3.22921178030212e-129
"FBXO2","FBXO2",9.44295948297538e-127,2.21448624125913,0.645,0.267,2.52476407696313e-122
"JAKMIP3","JAKMIP3",1.39751410126117e-126,1.09493328246887,0.941,0.803,3.73653345254199e-122
"CDKL1","CDKL1",1.82998153521916e-123,1.65123011225434,0.781,0.465,4.89282163071546e-119
"USP31","USP31",1.44847885814272e-119,0.902229951381264,0.965,0.901,3.87279792301618e-115
"LMCD1-AS1","LMCD1-AS1",3.15041198429008e-116,-0.834285457714162,0.945,0.982,8.42325652239638e-112
"OGFRL1","OGFRL1",3.37075354176134e-116,2.96944778194512,0.617,0.29,9.0123837446073e-112
"COL18A1","COL18A1",1.48309964008925e-112,-0.926759391508927,0.803,0.949,3.96536350770664e-108
"MSRA","MSRA",1.50994024505037e-112,1.05340941816268,0.964,0.826,4.03712723319118e-108
"DPYD","DPYD",1.01615803114761e-111,-0.5347303219668,0.992,0.993,2.71690172787936e-107
"ENSG00000285106","ENSG00000285106",3.97430452040527e-109,0.907110909659981,0.988,0.969,1.06260979962076e-104
"SLC35F3","SLC35F3",3.88379807107885e-104,1.42439268510605,0.847,0.595,1.03841109026435e-99
"IRS2","IRS2",3.76501546605314e-103,1.49367138612064,0.756,0.463,1.00665218515863e-98
"CIRBP","CIRBP",2.16651114102849e-102,-1.1889839176862,0.563,0.833,5.79260083776789e-98
"NKAIN2","NKAIN2",2.95534832328967e-100,-0.526712597185921,0.998,0.998,7.9017148119796e-96
"S100A6","S100A6",2.35080722280081e-99,2.48653976981386,0.574,0.234,6.28535327160253e-95
"LINC01505","LINC01505",1.55681424531612e-96,-1.11963043851197,0.775,0.938,4.1624542477017e-92
"QKI","QKI",3.39060674272253e-95,-0.402086353490827,1,1,9.06546524801722e-91
"LUCAT1","LUCAT1",5.47258416436843e-95,1.90460053494425,0.642,0.318,1.46320482802719e-90
"HSPH1","HSPH1",3.12930700881291e-94,1.85385768513321,0.611,0.297,8.36682814946308e-90
"ERBIN","ERBIN",2.70726736250824e-93,0.759318400276439,0.994,0.993,7.23842074713827e-89
"HSP90AA1","HSP90AA1",2.10987560072323e-91,0.853488481040463,0.988,0.977,5.6411743936537e-87
"ENSG00000283486","ENSG00000283486",1.12256889178173e-90,0.915787115699676,0.941,0.816,3.00141244595682e-86
"HSPA1B","HSPA1B",5.92831661609173e-89,2.24024862957012,0.454,0.131,1.58505401364445e-84
"SLC39A11","SLC39A11",1.60590335123685e-88,0.619686973484108,0.99,0.98,4.29370379020196e-84
"MRPS6","MRPS6",4.06673634892874e-88,3.28418859148212,0.323,0.044,1.08732329761308e-83
"PHLDB1","PHLDB1",4.0356338568503e-87,-0.917444557054088,0.737,0.917,1.07900742430606e-82
"ERBB4","ERBB4",8.26184977376294e-87,-1.49608728198698,0.406,0.704,2.208970774011e-82
"MIR219A2HG","MIR219A2HG",4.7183127981036e-86,-1.40387843937161,0.641,0.858,1.26153529282896e-81
"CHORDC1","CHORDC1",1.68061494348482e-85,1.48649336209009,0.645,0.337,4.49346017439538e-81
"CTNNA3","CTNNA3",4.2792137516451e-83,-0.390564152675275,0.998,0.999,1.14413338077735e-78
"TP53TG5","TP53TG5",1.04503264104136e-81,-1.34395780726074,0.433,0.719,2.79410377235228e-77
"ZEB2","ZEB2",3.42149406850812e-80,-0.51288232531673,0.993,0.995,9.14804869097015e-76
"SELENOP","SELENOP",6.4687794750271e-80,0.738359498151785,0.983,0.969,1.729557568238e-75
"NUPR1","NUPR1",5.52606673573947e-79,2.37520714526471,0.404,0.109,1.47750446313466e-74
"PTPRD","PTPRD",2.49326952396598e-78,-0.42619246969454,0.996,0.999,6.66625472622785e-74
"ANK2","ANK2",3.99128352464641e-77,-0.649903778465996,0.965,0.986,1.06714947598471e-72
"MAP2K4","MAP2K4",3.18586458883474e-76,0.75613997661855,0.933,0.839,8.51804615116746e-72
"DNAJB1","DNAJB1",4.02936086161292e-76,1.7252038022638,0.549,0.244,1.07733021356945e-71
"MBP","MBP",2.46495506271896e-75,-0.394086156813327,1,1,6.59055035119169e-71
"SEM1","SEM1",2.87174546730921e-75,1.07245045361627,0.847,0.646,7.67818585594465e-71
"PLOD3","PLOD3",1.48123627516663e-74,1.14820787090886,0.738,0.492,3.96038142891301e-70
"PDE4DIP","PDE4DIP",2.00254232340073e-73,0.623874384264732,0.969,0.924,5.35419741007654e-69
"PCSK1N","PCSK1N",4.09463172935076e-73,1.5511376670671,0.589,0.303,1.09478168547651e-68
"TKT","TKT",7.87247486807639e-73,1.01644489552339,0.806,0.597,2.10486360547759e-68
"PTGES3","PTGES3",9.39476863058567e-73,1.00784925423652,0.819,0.634,2.51187928875969e-68
"LSS","LSS",1.27279891946705e-72,0.772266327375973,0.93,0.852,3.40308247097904e-68
"HSP90AB1","HSP90AB1",1.82520181755832e-72,1.00278490929322,0.865,0.778,4.88004209960569e-68
"PPP2R2B","PPP2R2B",2.47648110687905e-72,-0.586030458094896,0.987,0.995,6.62136753546252e-68
"MAST4","MAST4",1.00779341837458e-71,1.32141154750977,0.697,0.425,2.6945372627081e-67
"ITPR2","ITPR2",8.50503019967801e-71,1.3101797256003,0.691,0.415,2.27398992448791e-66
"SPOCK1","SPOCK1",2.45670772737297e-70,-0.928488744901035,0.771,0.908,6.56849945067711e-66
"SOWAHA","SOWAHA",5.05733317421192e-70,1.79317238839053,0.464,0.176,1.35217917078904e-65
"SEPTIN8","SEPTIN8",1.31555443626518e-69,0.679140082652093,0.948,0.904,3.5173978962422e-65
"INPP5F","INPP5F",3.68688478800162e-69,0.81939049712143,0.932,0.846,9.85762385767994e-65
"ENSG00000232104","ENSG00000232104",5.49520738898903e-69,-1.27045993610465,0.407,0.686,1.469253599594e-64
"FMO5","FMO5",7.26219711099138e-68,1.51949604720319,0.654,0.413,1.94169364156576e-63
"TXNIP","TXNIP",1.17077038692545e-67,-1.66079005182949,0.232,0.524,3.13028878352258e-63
"PCDH9","PCDH9",2.47960112213783e-66,-0.444770121449597,0.999,1,6.62970952025992e-62
"STIP1","STIP1",2.76526156725532e-66,1.45042316674821,0.565,0.291,7.39347985237054e-62
"LINC01877","LINC01877",2.96137407988836e-66,-1.40310629143237,0.279,0.568,7.91782587739751e-62
"FKBP5","FKBP5",3.17096728604155e-66,0.845848367374872,0.913,0.792,8.47821523268929e-62
"NAALADL2","NAALADL2",2.52179789639235e-65,-0.868868267734722,0.741,0.886,6.74253103558423e-61
"DNAJB6","DNAJB6",3.00523127322856e-65,0.992323769797434,0.765,0.562,8.0350868552312e-61
"DPP6","DPP6",4.46272877544092e-65,0.6698340606084,0.985,0.908,1.19319979268964e-60
"SCD5","SCD5",1.29819011497935e-64,-0.529478422785661,0.945,0.979,3.47097091042028e-60
"VSIR","VSIR",1.85676219674595e-64,1.97624258580522,0.417,0.15,4.96442508543964e-60
"CPQ","CPQ",1.2836410225688e-63,0.74971209502216,0.921,0.827,3.43207100204219e-59
"FAM66D","FAM66D",1.95550462744628e-61,-1.14479693386339,0.448,0.684,5.22843272240311e-57
"ENSG00000233359","ENSG00000233359",5.53901244453146e-61,1.02262345027267,0.685,0.377,1.48096575729438e-56
"UNC5C","UNC5C",2.07044336824669e-59,-0.570681891544577,0.988,0.988,5.53574443368118e-55
"COL4A5","COL4A5",3.89861620548579e-58,-0.582198100915948,0.905,0.97,1.04237301486073e-53
"ZMYND8","ZMYND8",1.88040441342345e-57,0.753689657031066,0.934,0.873,5.02763728017028e-53
"ENSG00000261621","ENSG00000261621",8.09147976195782e-57,1.47272358482303,0.394,0.133,2.16341894395466e-52
"SCN9A","SCN9A",2.74052223443505e-56,3.27656702708646,0.223,0.033,7.327334298209e-52
"HTRA1","HTRA1",6.55717732464151e-56,0.537742100233131,0.964,0.919,1.7531925012894e-51
"SLC7A11","SLC7A11",1.2831964612273e-55,1.79586937329261,0.551,0.286,3.43088237838342e-51
"MRAS","MRAS",1.57698178568455e-55,1.22920509094197,0.613,0.376,4.21637620038478e-51
"ANAPC16","ANAPC16",1.72469850961398e-55,0.847946327596794,0.801,0.607,4.61132640515489e-51
"CLIP4","CLIP4",3.33829937204295e-55,0.589432093517421,0.946,0.882,8.92561103103123e-51
"P2RX7","P2RX7",6.15791343510032e-55,0.69897752355897,0.914,0.811,1.64644131514277e-50
"SPP1","SPP1",3.60938901624112e-54,0.6595186408839,0.98,0.982,9.6504234127239e-50
"SLC44A1","SLC44A1",2.99803614076138e-53,0.344336084213283,1,0.999,8.0158492295537e-49
"ERC1","ERC1",1.10289627779478e-52,0.935095759189693,0.931,0.875,2.94881377793991e-48
"USH1C","USH1C",1.64053951776486e-52,-1.02249344383652,0.464,0.693,4.3863105086479e-48
"ANKRD18A","ANKRD18A",8.87774801462918e-52,0.655578980046806,0.936,0.831,2.3736434866714e-47
"KCNK1","KCNK1",2.49078786030752e-51,0.841694203715825,0.801,0.644,6.65961950210421e-47
"TMEM178A","TMEM178A",3.60203410871714e-51,0.924527651634459,0.762,0.553,9.63075859647701e-47
"FBXO7","FBXO7",7.25871541598949e-51,-0.74334434413777,0.68,0.829,1.94076274077311e-46
"DLG2","DLG2",1.32712001633448e-50,-0.255421551519234,0.998,0.997,3.5483207876735e-46
"TRIM2","TRIM2",1.44152836418161e-50,-0.460281436432303,0.974,0.99,3.85421438731238e-46
"RANBP17","RANBP17",1.48795469979952e-50,-0.809652366430903,0.61,0.805,3.97834448085398e-46
"DDX3Y","DDX3Y",7.57619281677572e-50,1.38898862352577,0.449,0.199,2.02564667342132e-45
"DNAJA1","DNAJA1",7.99177942754686e-50,1.07199078833241,0.642,0.433,2.1367620655432e-45
"LINC03002","LINC03002",1.29552512781501e-49,-2.60550128010504,0.069,0.27,3.46384553423898e-45
"PTK2","PTK2",1.3940922040755e-49,-0.44710352385407,0.97,0.986,3.72738432603665e-45
"BOK","BOK",1.55772881281289e-49,0.742897860870513,0.843,0.712,4.16489952681782e-45
"TMEM165","TMEM165",8.81582313680564e-49,-0.310379995801934,0.998,1,2.35708663208772e-44
"AGPAT4","AGPAT4",2.30830066463262e-48,-0.402214542360972,0.992,0.991,6.17170348702825e-44
"FKBP4","FKBP4",3.43944429079919e-48,1.40392733589724,0.426,0.19,9.19604220030979e-44
"CAB39L","CAB39L",5.70281233846788e-48,1.18749656940877,0.538,0.293,1.52476093493616e-43
"ENOSF1","ENOSF1",6.76201831218391e-48,-1.08678761341418,0.382,0.612,1.80796083612861e-43
"OLFM3","OLFM3",7.22230155716952e-48,1.53377617151449,0.388,0.156,1.93102676734042e-43
"DNAJA4","DNAJA4",4.34326272773274e-47,1.92299417274612,0.359,0.149,1.1612581555139e-42
"SEPTIN7","SEPTIN7",9.41300634647015e-47,-0.559315412925514,0.965,0.982,2.51675550685572e-42
"MCF2L","MCF2L",1.0016996830415e-46,0.827700509083787,0.745,0.539,2.67824444254805e-42
"LINC00513","LINC00513",1.03736389832954e-46,1.4383403196871,0.489,0.261,2.7735998549637e-42
"FANCC","FANCC",1.32099780499383e-46,1.16712480592673,0.589,0.361,3.531951831212e-42
"RBM48","RBM48",2.04946243926776e-46,1.21436794017562,0.516,0.28,5.47964772387021e-42
"MIR325HG","MIR325HG",2.0706110343765e-46,-0.81917822239635,0.61,0.797,5.53619272261244e-42
"CLMN","CLMN",2.08629325409351e-46,0.654934600142309,0.951,0.906,5.57812227346982e-42
"NDRG1","NDRG1",2.89774887859138e-46,0.452348553026843,0.963,0.961,7.74771117668976e-42
