"","Gene_Symbol","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"NEAT1","NEAT1",4.74536614578592e-280,1.63719480144374,0.999,0.995,1.26876854639878e-275
"RANBP3L","RANBP3L",1.50010626714091e-154,1.59760652776476,0.872,0.637,4.01083412645465e-150
"SLC39A11","SLC39A11",6.72763175878927e-145,1.11640110071149,0.965,0.918,1.79876690334749e-140
"COL27A1","COL27A1",2.13647695118325e-138,1.69907849324751,0.788,0.428,5.71229842437867e-134
"CHI3L1","CHI3L1",5.7068637028365e-136,2.95718755295639,0.675,0.293,1.52584414822739e-131
"SMTN","SMTN",1.76988963510734e-124,2.82141267615526,0.566,0.164,4.7321539173865e-120
"SLC38A2","SLC38A2",8.97785283597084e-110,2.68094522073482,0.462,0.095,2.40040851275352e-105
"MRPS6","MRPS6",9.23826902679321e-107,2.2788546019367,0.539,0.172,2.4700359896937e-102
"CLIP2","CLIP2",2.61200333301681e-88,2.04599772987981,0.541,0.207,6.98371331148703e-84
"LINC00298","LINC00298",4.82604057333114e-67,-1.10393796143977,0.454,0.731,1.29033846809155e-62
"COL5A3","COL5A3",2.59213025098087e-65,1.38750236620094,0.735,0.503,6.93057865204756e-61
"ENSG00000271904","ENSG00000271904",3.68515148806361e-64,-1.37528122932346,0.249,0.557,9.85298953363568e-60
"SLC14A1","SLC14A1",9.68430161565532e-63,-0.945414537744048,0.845,0.925,2.58929172297776e-58
"CDKL1","CDKL1",9.81985639373944e-60,1.87461939489827,0.412,0.149,2.62553500399411e-55
"PFKP","PFKP",1.51642703735896e-59,1.39175733372298,0.601,0.356,4.05447096978664e-55
"ENSG00000274265","ENSG00000274265",2.67548985970956e-59,0.862219863691708,0.847,0.723,7.15345723790546e-55
"IFRD1","IFRD1",4.10839047744966e-59,1.7609249428479,0.518,0.275,1.09846036195571e-54
"CIRBP","CIRBP",6.10030294022921e-59,-1.18297130670042,0.308,0.607,1.63103799712908e-54
"SNAP25","SNAP25",2.28840325184026e-58,1.95851765086561,0.451,0.194,6.1185037744453e-54
"ZMAT1","ZMAT1",4.6883771766983e-58,-1.20539434165026,0.313,0.6,1.25353140573382e-53
"AHCYL1","AHCYL1",7.28415613442815e-58,-0.612411975274683,0.905,0.965,1.94756482566205e-53
"ASB18","ASB18",2.24090842506911e-57,3.73797427672137,0.239,0.037,5.99151685610728e-53
"LINC02649","LINC02649",2.43030561624044e-57,-1.63871047172655,0.179,0.449,6.49790812614207e-53
"ENSG00000226994","ENSG00000226994",9.58785067935015e-57,-1.72740913306046,0.161,0.432,2.56350363613785e-52
"NPAS2","NPAS2",1.07287690001957e-56,1.06202576744142,0.761,0.615,2.86855096758234e-52
"NPAS3","NPAS3",1.26833377802091e-55,-0.418610810755154,0.995,0.994,3.39114402229451e-51
"SAMD4A","SAMD4A",9.80190674661195e-55,0.780102214362578,0.892,0.791,2.62073580684164e-50
"LSMEM1","LSMEM1",7.73436451766835e-54,3.46225132052247,0.214,0.028,2.06793704108899e-49
"NEDD4L","NEDD4L",3.90714610779574e-52,1.10729271273167,0.654,0.417,1.04465365484135e-47
"SASH1","SASH1",6.32461705952281e-52,0.585241845324602,0.955,0.916,1.69101286320461e-47
"ABHD2","ABHD2",7.71685850343543e-52,1.09736290423372,0.682,0.503,2.06325645806353e-47
"USP38-DT","USP38-DT",1.46082713514235e-51,-1.40851759732036,0.252,0.515,3.9058135112301e-47
"PITPNC1","PITPNC1",1.69886091776354e-51,-0.50466516508348,0.989,0.99,4.54224443582437e-47
"TXNIP","TXNIP",8.43803805271399e-51,-1.62253965258414,0.115,0.361,2.25607823415414e-46
"TNRC6A","TNRC6A",1.01142601827729e-50,0.498996899399585,0.982,0.963,2.70424974506799e-46
"ENSG00000285106","ENSG00000285106",1.75035360195807e-50,0.567233111535421,0.961,0.938,4.67992042555529e-46
