"","Gene_Symbol","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CARNS1","CARNS1",0,-1.43757931319958,0.294,0.583,0
"MIR219A2HG","MIR219A2HG",0,-1.85209195136103,0.277,0.564,0
"TP53TG5","TP53TG5",0,-1.98732519747466,0.166,0.451,0
"CIRBP","CIRBP",0,-1.2377690068025,0.322,0.593,0
"POLR2F","POLR2F",0,-1.35252149544049,0.398,0.666,0
"NAALADL2","NAALADL2",0,-1.05111531353539,0.465,0.73,0
"HSPA1A","HSPA1A",0,1.72769219259953,0.546,0.283,0
"KCNH8","KCNH8",0,-1.13016171125501,0.528,0.784,0
"MOBP","MOBP",0,-1.252252875369,0.484,0.725,0
"SLC38A2","SLC38A2",0,1.2564818478171,0.64,0.405,0
"SPOCK1","SPOCK1",0,-0.83832624706538,0.613,0.844,0
"PLEKHH1","PLEKHH1",0,-1.09265948650276,0.528,0.751,0
"PPP2R2B","PPP2R2B",0,-1.15844684441548,0.648,0.868,0
"ANK3","ANK3",0,-1.03053785107753,0.635,0.853,0
"TRIM2","TRIM2",0,-0.831463410057304,0.631,0.846,0
"PTPRD","PTPRD",0,-0.75770734268704,0.69,0.884,0
"ANK2","ANK2",0,-0.986210056767509,0.712,0.893,0
"CTNNA3","CTNNA3",0,-0.865658289110036,0.617,0.788,0
"FKBP5","FKBP5",0,1.02752195406126,0.845,0.695,0
"SIK3","SIK3",0,-0.865004853145353,0.867,0.936,0
"NEAT1","NEAT1",0,1.11312240929561,0.915,0.872,0
"CREB5","CREB5",8.7389343305108e-319,-0.917639286015224,0.598,0.812,2.33652887194867e-314
"HSPH1","HSPH1",6.6572591855198e-315,1.76656015553334,0.407,0.163,1.77995138843243e-310
"IL1RAPL1","IL1RAPL1",3.25071089715455e-306,-0.725690953020333,0.696,0.89,8.69142572572211e-302
"CNP","CNP",1.77966604291667e-296,-0.907993391223019,0.521,0.747,4.75829309894629e-292
"ZFYVE16","ZFYVE16",2.18831196486466e-292,-0.911484423433497,0.58,0.763,5.85088970045864e-288
"ENSG00000228651","ENSG00000228651",1.64362067010538e-291,2.58017503704883,0.298,0.091,4.39454858566074e-287
"LHFPL2","LHFPL2",2.92288305750573e-279,1.47537823378559,0.437,0.193,7.81491243085308e-275
"ENSG00000285218","ENSG00000285218",5.56523158226597e-279,-1.09304654837729,0.441,0.67,1.48797596815045e-274
"PHLDB1","PHLDB1",5.37203934236539e-271,-0.896601860118487,0.475,0.713,1.43632215896823e-266
"SEMA3B","SEMA3B",1.70192698628596e-270,-1.26411303280916,0.276,0.521,4.55044218323278e-266
"PDE4B","PDE4B",1.24199959390506e-268,-0.599923730394269,0.871,0.938,3.32073431422395e-264
"CLASP2","CLASP2",9.1764777329487e-264,-0.539311599776836,0.835,0.932,2.45351485145849e-259
"ITPR2","ITPR2",3.00361019781442e-262,1.08526106056978,0.637,0.385,8.0307525858964e-258
"MRPS6","MRPS6",7.38077643597046e-262,2.20028875122955,0.26,0.07,1.97339819568542e-257
"LMCD1-AS1","LMCD1-AS1",1.46546327316146e-261,-0.956327547764605,0.455,0.687,3.91820915345178e-257
"UNC5C","UNC5C",3.59845662260767e-261,-0.858963608978821,0.617,0.816,9.62119347186612e-257
"MOG","MOG",1.07695385215592e-258,-0.937563409587806,0.423,0.649,2.87945151450929e-254
"ENSG00000243444","ENSG00000243444",7.29242184155254e-254,-1.38042752644045,0.251,0.491,1.9497748277759e-249
"HSPA1B","HSPA1B",9.4062879150431e-249,1.88954130420618,0.304,0.103,2.51495919984507e-244
"AKAP6","AKAP6",2.26738195905154e-248,-0.681245405934963,0.639,0.841,6.0622991439161e-244
"PCDH9","PCDH9",1.73708990363012e-246,-0.546355793046629,0.734,0.914,4.64445727533586e-242
"CHI3L1","CHI3L1",1.58654487049977e-245,4.66342697468068,0.136,0.009,4.24194502025524e-241
"BCAS1","BCAS1",3.88773812831063e-244,-0.674076992229609,0.593,0.807,1.03946454336641e-239
"TJP1","TJP1",1.48111448145751e-243,-0.67414887833701,0.71,0.853,3.96005578907294e-239
"SORL1","SORL1",3.28977836666876e-240,0.96480755188262,0.659,0.46,8.79588041896228e-236
